5Dimes,BetDSI,BetOnline,BetUS,BookMaker,Bovada,Pinnacle,Props,SBG Global,SportBet,SportsInt.,Sportsbook,TheGreek,William H.,fighter,timestamp
-120,-117,-125,-130,-117,-125,-125,,-120,-117,-120,-115,-121,-125,Conor McGregor,2016-08-14 15:07:45.682185
-210,-210,-200,-210,-210,-200,-199,,-210,-205,-195,-225,-220,-250,Anthony Johnson,2016-08-14 15:07:45.683415
-160,-165,-160,-165,-165,-175,-161,,-160,-157,-160,-175,-165,-189,Donald Cerrone,2016-08-14 15:07:45.684607
-275,-275,-260,-300,-275,-300,-259,,-275,-269,-360,-330,-320,-333,Hyun Gyu Lim,2016-08-14 15:07:45.685703
+350,+335,+330,+325,+335,+325,+340,,+350,+363,+290,+375,+270,+300,Sabah Homasi,2016-08-14 15:07:45.686799
-550,-530,-520,-550,-530,-550,-485,,-550,-531,-470,-550,-500,-455,Cody Garbrandt,2016-08-14 15:07:45.687959
-110,-110,-120,-120,-110,-120,-112,,-110,-107,-130,-115,-125,-125,Artem Lobov,2016-08-14 15:07:45.689011
+205,+203,+205,+200,+203,+205,+210,,+205,+211,+185,+215,+185,+190,Elizabeth Phillips,2016-08-14 15:07:45.690018
+115,+120,+120,+110,+120,+110,+120,,+115,+118,+130,+115,+110,+130,Cortney Casey,2016-08-14 15:07:45.691025
+110,+105,+110,-105,+105,+100,+107,,+110,+113,+100,+100,+105,+100,Lorenz Larkin,2016-08-14 15:07:45.692016
-300,-275,-270,-300,-275,-300,-277,,-300,-293,-260,-280,-290,-250,Colby Covington,2016-08-14 15:07:45.692996
+145,+140,+145,+140,+140,+135,+145,,+145,+148,+135,+120,+125,+138,Alberto Uda,2016-08-14 15:07:45.694017
+100,-103,+105,+100,-103,-105,+111,,+100,+103,-105,-115,-109,+100,Nate Diaz,2016-08-14 15:07:45.695057
+175,+175,+170,+165,+175,+160,+175,,+175,+180,+155,+180,+160,+190,Glover Teixeira,2016-08-14 15:07:45.696061
+140,+140,+140,+135,+140,+145,+143,,+140,+143,+125,+145,+125,+150,Rick Story,2016-08-14 15:07:45.697097
+235,+230,+220,+220,+230,+230,+225,,+235,+241,+250,+250,+225,+250,Mike Perry,2016-08-14 15:07:45.698097
-440,-415,-400,-450,-415,-450,-405,,-440,-427,-420,-500,-400,-400,Tim Means,2016-08-14 15:07:45.699094
+425,+415,+405,+375,+415,+375,+400,,+425,+444,+320,+400,+325,+320,Takeya Mizugaki,2016-08-14 15:07:45.700092
-110,-110,+100,-110,-110,-110,+100,,-110,-107,+100,-115,-105,+100,Chris Avila,2016-08-14 15:07:45.701090
-245,-245,-240,-250,-245,-265,-241,,-245,-239,-250,-275,-260,-250,Raquel Pennington,2016-08-14 15:07:45.702090
-135,-140,-140,-140,-140,-140,-135,,-135,-132,-165,-145,-145,-161,Randa Markos,2016-08-14 15:07:45.703091
-130,-125,-130,-125,-125,-130,-120,,-130,-127,-130,-130,-135,-125,Neil Magny,2016-08-14 15:07:45.704083
+250,+230,+230,+220,+230,+230,+240,,+250,+257,+190,+217,+210,+190,Max Griffin,2016-08-14 15:07:45.705060
-165,-165,-170,-170,-165,-165,-164,,-165,-162,-175,-150,-165,-175,Marvin Vettori,2016-08-14 15:07:45.706058
